A,A_motor,proba_mean,latency_motor,latency_stop_forward,latency_stop_backward,stop_shift,stop_shift2,max_dur,n_onset,n_star,mode,game,subject
0.72,0.8,0.78,2090.0,500.0,500.0,-500.0,0.0,3900.0,2.0,0,im,1,01TG
0.61,0.77,0.69,1600.0,500.0,500.0,-500.0,-500.0,2400.0,2.0,1,im,1,01TG
0.64,0.86,0.85,2390.0,500.0,500.0,-500.0,-500.0,4400.0,1.0,2,im,1,01TG
0.9,1.0,0.96,1790.0,600.0,6800.0,600.0,600.0,6300.0,1.0,3,im,1,01TG
0.75,0.88,0.75,2590.0,500.0,500.0,-500.0,-100.0,4800.0,2.0,4,im,1,01TG
0.71,0.82,0.81,2690.0,500.0,500.0,-500.0,0.0,2700.0,3.0,5,im,1,01TG
0.98,1.0,0.98,400.0,500.0,0.0,0.0,200.0,7700.0,1.0,6,im,1,01TG
0.75,0.87,0.83,800.0,1500.0,2600.0,1500.0,1500.0,4300.0,2.0,7,im,1,01TG
0.96,0.98,0.93,-200.0,500.0,500.0,-500.0,0.0,7500.0,2.0,8,im,1,01TG
0.8,1.0,0.96,2090.0,1500.0,6500.0,1500.0,1500.0,6000.0,1.0,9,im,1,01TG
0.9,0.98,0.92,700.0,500.0,7900.0,500.0,100.0,6700.0,2.0,10,im,1,01TG
0.78,1.0,0.91,2390.0,500.0,500.0,-500.0,-500.0,5100.0,1.0,11,im,1,01TG
0.82,0.88,0.81,1200.0,600.0,4600.0,600.0,600.0,4000.0,2.0,12,im,1,01TG
0.8,0.9,0.88,190.0,600.0,4100.0,600.0,600.0,3200.0,5.0,13,im,1,01TG
0.46,0.45,0.47,1100.0,500.0,500.0,-500.0,-300.0,2500.0,3.0,14,im,1,01TG
0.88,0.97,0.92,800.0,1100.0,7800.0,1100.0,1100.0,7300.0,2.0,15,im,1,01TG
0.58,0.52,0.5,1500.0,500.0,2600.0,500.0,300.0,2500.0,5.0,16,im,1,01TG
0.8,0.92,0.87,1800.0,500.0,500.0,-500.0,0.0,6100.0,2.0,17,im,1,01TG
0.51,0.3,0.28,-500.0,500.0,500.0,-500.0,-100.0,2000.0,3.0,18,im,1,01TG
0.78,0.88,0.86,2490.0,700.0,6100.0,700.0,700.0,2700.0,2.0,19,im,1,01TG
0.89,0.92,0.9,-500.0,800.0,1800.0,800.0,800.0,6300.0,3.0,0,im,2,01TG
0.83,0.95,0.93,1400.0,1100.0,7200.0,1100.0,1100.0,6600.0,1.0,1,im,2,01TG
0.81,0.96,0.9,2490.0,500.0,6100.0,500.0,300.0,5700.0,1.0,2,im,2,01TG
0.54,0.6,0.61,1700.0,500.0,500.0,-500.0,-500.0,3100.0,3.0,3,im,2,01TG
0.87,1.0,0.97,1090.0,500.0,0.0,0.0,200.0,6900.0,1.0,4,im,2,01TG
0.73,0.8,0.75,800.0,1100.0,3000.0,1100.0,1100.0,3400.0,3.0,5,im,2,01TG
0.64,0.65,0.64,500.0,500.0,500.0,-500.0,-500.0,3300.0,4.0,6,im,2,01TG
0.89,1.0,0.91,1100.0,600.0,7500.0,600.0,600.0,7000.0,1.0,7,im,2,01TG
0.48,0.38,0.41,1400.0,700.0,1300.0,700.0,700.0,1600.0,4.0,8,im,2,01TG
0.96,1.0,0.97,-400.0,500.0,0.0,0.0,200.0,6900.0,2.0,9,im,2,01TG
0.92,1.0,0.91,-300.0,700.0,7900.0,700.0,700.0,7400.0,1.0,10,im,2,01TG
0.88,0.92,0.85,800.0,500.0,3700.0,500.0,300.0,3900.0,2.0,11,im,2,01TG
0.51,0.42,0.37,1100.0,900.0,1700.0,900.0,300.0,2400.0,2.0,12,im,2,01TG
0.95,0.95,0.83,-300.0,500.0,0.0,0.0,400.0,8000.0,1.0,13,im,2,01TG
0.73,0.78,0.72,300.0,500.0,500.0,-500.0,-500.0,4300.0,2.0,14,im,2,01TG
0.76,0.88,0.83,2090.0,500.0,1000.0,500.0,-500.0,4300.0,3.0,15,im,2,01TG
0.51,0.92,0.9,190.0,0.0,5900.0,0.0,-1000.0,5400.0,2.0,16,im,2,01TG
0.51,0.58,0.61,-500.0,500.0,500.0,-500.0,-500.0,2100.0,5.0,17,im,2,01TG
0.86,0.92,0.79,1690.0,500.0,500.0,-500.0,-100.0,4400.0,4.0,18,im,2,01TG
0.75,1.0,0.93,-500.0,3000.0,0.0,0.0,3000.0,6900.0,2.0,19,im,2,01TG
0.79,1.0,0.96,-500.0,1700.0,0.0,0.0,1700.0,6300.0,3.0,0,im,3,01TG
0.75,0.96,0.89,2390.0,1600.0,6200.0,1600.0,1600.0,5700.0,1.0,1,im,3,01TG
0.81,0.98,0.86,1300.0,1100.0,7300.0,1100.0,1100.0,6800.0,1.0,2,im,3,01TG
0.71,0.73,0.7,1200.0,500.0,2800.0,500.0,400.0,3100.0,4.0,3,im,3,01TG
0.61,0.75,0.68,1600.0,500.0,500.0,-500.0,-500.0,2800.0,2.0,4,im,3,01TG
0.68,0.77,0.72,1600.0,1000.0,1200.0,1000.0,1000.0,4400.0,4.0,5,im,3,01TG
0.87,0.92,0.82,1090.0,600.0,5900.0,600.0,600.0,4800.0,3.0,6,im,3,01TG
0.65,0.84,0.73,2390.0,500.0,500.0,-500.0,-500.0,2900.0,2.0,7,im,3,01TG
0.74,0.92,0.81,2590.0,1200.0,6000.0,1200.0,1200.0,5500.0,1.0,8,im,3,01TG
0.56,0.75,0.66,1000.0,3400.0,2400.0,-2400.0,3400.0,2100.0,4.0,9,im,3,01TG
0.47,0.53,0.51,1400.0,500.0,500.0,-500.0,-500.0,2300.0,3.0,10,im,3,01TG
0.84,0.95,0.87,-400.0,500.0,7300.0,500.0,500.0,6800.0,1.0,11,im,3,01TG
0.63,0.77,0.68,1700.0,600.0,700.0,600.0,-500.0,2700.0,3.0,12,im,3,01TG
0.92,0.97,0.87,500.0,600.0,0.0,0.0,600.0,7600.0,1.0,13,im,3,01TG
0.86,0.98,0.86,2290.0,600.0,6300.0,600.0,600.0,5900.0,1.0,14,im,3,01TG
0.36,0.35,0.4,3400.0,500.0,900.0,500.0,-500.0,2000.0,2.0,15,im,3,01TG
0.8,0.95,0.86,1300.0,500.0,500.0,-500.0,-100.0,5100.0,2.0,16,im,3,01TG
0.4,0.42,0.43,2590.0,500.0,500.0,-500.0,-500.0,2100.0,1.0,17,im,3,01TG
0.69,0.68,0.67,2190.0,500.0,4100.0,500.0,400.0,3600.0,2.0,18,im,3,01TG
0.89,1.0,0.97,1990.0,700.0,6600.0,700.0,700.0,6100.0,1.0,19,im,3,01TG
0.71,0.92,0.82,-300.0,2400.0,1300.0,-1300.0,2400.0,5700.0,3.0,0,qm,1,01TG
0.81,0.97,0.85,100.0,1100.0,7100.0,1100.0,1100.0,6600.0,4.0,1,qm,1,01TG
0.75,0.9,0.81,-500.0,1100.0,1000.0,-1000.0,-500.0,6200.0,2.0,2,qm,1,01TG
0.83,0.98,0.85,600.0,1600.0,0.0,0.0,1600.0,7500.0,1.0,3,qm,1,01TG
0.87,0.82,0.72,300.0,500.0,1400.0,500.0,400.0,5600.0,2.0,4,qm,1,01TG
0.83,0.96,0.85,290.0,2000.0,0.0,0.0,2000.0,6900.0,2.0,5,qm,1,01TG
0.71,0.7,0.62,0.0,700.0,1600.0,700.0,700.0,2800.0,4.0,6,qm,1,01TG
0.67,0.77,0.69,1000.0,1300.0,900.0,-900.0,-500.0,3400.0,4.0,7,qm,1,01TG
0.8,0.8,0.66,0.0,500.0,900.0,500.0,-500.0,5900.0,2.0,8,qm,1,01TG
0.71,0.87,0.73,1400.0,800.0,6100.0,800.0,800.0,5600.0,2.0,9,qm,1,01TG
0.74,0.87,0.79,800.0,500.0,500.0,-500.0,-500.0,4600.0,3.0,10,qm,1,01TG
0.68,0.77,0.63,-500.0,500.0,500.0,-500.0,-500.0,1900.0,5.0,11,qm,1,01TG
0.77,0.73,0.72,600.0,500.0,500.0,-500.0,0.0,3400.0,3.0,12,qm,1,01TG
0.78,0.83,0.72,600.0,500.0,5500.0,500.0,300.0,3900.0,5.0,13,qm,1,01TG
0.78,0.98,0.86,-500.0,500.0,500.0,-500.0,-500.0,6200.0,1.0,14,qm,1,01TG
0.77,0.82,0.75,1600.0,500.0,4600.0,500.0,100.0,4200.0,3.0,15,qm,1,01TG
0.58,0.8,0.72,-100.0,1300.0,500.0,-500.0,-500.0,3500.0,3.0,16,qm,1,01TG
0.74,0.98,0.84,1300.0,2100.0,7300.0,2100.0,2100.0,5900.0,2.0,17,qm,1,01TG
0.7,0.9,0.78,-500.0,1000.0,500.0,-500.0,-500.0,4400.0,2.0,18,qm,1,01TG
0.84,0.92,0.78,200.0,500.0,0.0,0.0,500.0,5100.0,3.0,19,qm,1,01TG
0.91,0.96,0.75,290.0,500.0,500.0,-500.0,-100.0,3400.0,3.0,0,qm,2,01TG
0.6,0.62,0.6,1600.0,500.0,1300.0,500.0,500.0,2400.0,4.0,1,qm,2,01TG
0.71,0.9,0.73,-500.0,500.0,500.0,-500.0,0.0,4700.0,2.0,2,qm,2,01TG
0.42,0.48,0.49,-200.0,500.0,700.0,500.0,-500.0,2500.0,3.0,3,qm,2,01TG
0.7,0.78,0.74,600.0,800.0,600.0,-600.0,-500.0,5400.0,2.0,4,qm,2,01TG
0.59,0.56,0.54,-100.0,500.0,500.0,-500.0,-500.0,1900.0,5.0,5,qm,2,01TG
0.49,0.52,0.48,1100.0,500.0,500.0,-500.0,-500.0,2800.0,3.0,6,qm,2,01TG
0.64,0.8,0.63,1600.0,500.0,500.0,-500.0,-500.0,5100.0,1.0,7,qm,2,01TG
0.76,0.88,0.76,1000.0,500.0,500.0,-500.0,-500.0,5200.0,3.0,8,qm,2,01TG
0.85,0.88,0.75,800.0,700.0,2100.0,700.0,700.0,5000.0,2.0,9,qm,2,01TG
0.87,0.9,0.76,400.0,500.0,500.0,-500.0,-200.0,5000.0,3.0,10,qm,2,01TG
0.64,0.58,0.56,-400.0,500.0,600.0,500.0,-300.0,1900.0,7.0,11,qm,2,01TG
0.81,0.88,0.78,-500.0,500.0,4300.0,500.0,100.0,3900.0,3.0,12,qm,2,01TG
0.74,0.78,0.67,0.0,500.0,1000.0,500.0,-500.0,4100.0,4.0,13,qm,2,01TG
0.78,0.97,0.82,1400.0,500.0,500.0,-500.0,-500.0,5700.0,2.0,14,qm,2,01TG
0.5,0.28,0.36,1390.0,500.0,1200.0,500.0,200.0,1000.0,4.0,15,qm,2,01TG
0.79,0.9,0.76,600.0,500.0,500.0,-500.0,-500.0,6200.0,1.0,16,qm,2,01TG
0.88,0.9,0.73,-300.0,600.0,0.0,0.0,600.0,5000.0,4.0,17,qm,2,01TG
0.65,0.74,0.62,-500.0,500.0,500.0,-500.0,-400.0,2300.0,7.0,18,qm,2,01TG
0.76,1.0,0.85,2190.0,500.0,500.0,-500.0,-500.0,5200.0,1.0,19,qm,2,01TG
0.75,0.93,0.79,1200.0,1700.0,2300.0,1700.0,100.0,5000.0,2.0,0,qm,3,01TG
0.73,0.9,0.78,0.0,2200.0,700.0,-700.0,-500.0,6800.0,3.0,1,qm,3,01TG
0.9,0.93,0.77,-300.0,500.0,500.0,-500.0,0.0,6500.0,3.0,2,qm,3,01TG
0.83,0.95,0.81,1300.0,700.0,7300.0,700.0,700.0,5500.0,3.0,3,qm,3,01TG
0.81,0.85,0.75,-500.0,500.0,1600.0,500.0,300.0,4400.0,5.0,4,qm,3,01TG
0.78,0.88,0.71,1700.0,500.0,6900.0,500.0,400.0,4000.0,2.0,5,qm,3,01TG
0.6,0.78,0.7,-500.0,500.0,500.0,-500.0,-500.0,4400.0,3.0,6,qm,3,01TG
0.77,0.92,0.84,-500.0,1000.0,5900.0,1000.0,1000.0,5100.0,4.0,7,qm,3,01TG
0.93,1.0,0.92,0.0,1200.0,0.0,0.0,1200.0,8000.0,1.0,8,qm,3,01TG
0.72,0.92,0.82,2490.0,1600.0,6100.0,1600.0,1600.0,3100.0,2.0,9,qm,3,01TG
0.81,0.97,0.86,1200.0,500.0,500.0,-500.0,0.0,6800.0,1.0,10,qm,3,01TG
0.8,0.98,0.87,-300.0,2600.0,0.0,0.0,2600.0,8000.0,1.0,11,qm,3,01TG
0.81,0.94,0.81,1690.0,1300.0,6900.0,1300.0,1300.0,4800.0,2.0,12,qm,3,01TG
0.8,0.92,0.8,1200.0,800.0,6300.0,800.0,800.0,4700.0,3.0,13,qm,3,01TG
0.92,1.0,0.88,-300.0,1100.0,0.0,0.0,1100.0,8000.0,1.0,14,qm,3,01TG
0.8,0.87,0.78,1500.0,500.0,1600.0,500.0,500.0,4900.0,2.0,15,qm,3,01TG
0.79,0.83,0.79,-100.0,1400.0,6100.0,1400.0,1400.0,5600.0,2.0,16,qm,3,01TG
0.89,0.98,0.87,-400.0,500.0,500.0,-500.0,0.0,7800.0,1.0,17,qm,3,01TG
0.8,0.62,0.72,590.0,500.0,4000.0,500.0,300.0,2700.0,5.0,18,qm,3,01TG
0.82,0.97,0.84,-100.0,1500.0,7200.0,1500.0,1500.0,6700.0,2.0,19,qm,3,01TG
0.78,0.8,0.74,200.0,500.0,500.0,-500.0,-100.0,2000.0,4.0,0,im,1,02ES
0.65,0.66,0.69,-300.0,500.0,500.0,-500.0,-500.0,2400.0,5.0,1,im,1,02ES
0.76,0.78,0.72,190.0,500.0,5100.0,500.0,300.0,4700.0,5.0,2,im,1,02ES
0.8,0.82,0.74,-300.0,500.0,500.0,-500.0,-100.0,3500.0,4.0,3,im,1,02ES
0.56,0.67,0.64,900.0,500.0,500.0,-500.0,-500.0,2100.0,5.0,4,im,1,02ES
0.76,0.73,0.7,-500.0,500.0,600.0,500.0,-100.0,3900.0,7.0,5,im,1,02ES
0.72,0.75,0.71,0.0,500.0,500.0,-500.0,-500.0,2200.0,4.0,6,im,1,02ES
0.77,0.82,0.73,-500.0,500.0,500.0,-500.0,-500.0,3000.0,7.0,7,im,1,02ES
0.61,0.58,0.53,390.0,500.0,500.0,-500.0,-500.0,1700.0,6.0,8,im,1,02ES
0.64,0.73,0.69,-500.0,500.0,500.0,-500.0,-400.0,3100.0,4.0,9,im,1,02ES
0.74,0.78,0.7,-400.0,600.0,1200.0,600.0,600.0,2500.0,4.0,10,im,1,02ES
0.68,0.8,0.72,1500.0,1600.0,6000.0,1600.0,100.0,4600.0,4.0,11,im,1,02ES
0.58,0.62,0.61,3000.0,500.0,500.0,-500.0,-200.0,4800.0,1.0,12,im,1,02ES
0.49,0.5,0.51,1800.0,600.0,700.0,600.0,-500.0,1700.0,4.0,13,im,1,02ES
0.62,0.48,0.5,-500.0,500.0,1300.0,500.0,500.0,1500.0,7.0,14,im,1,02ES
0.69,0.83,0.75,1200.0,500.0,500.0,-500.0,-500.0,3500.0,3.0,15,im,1,02ES
0.72,0.75,0.67,700.0,500.0,500.0,-500.0,-500.0,2700.0,4.0,16,im,1,02ES
0.86,0.92,0.79,-200.0,500.0,500.0,-500.0,0.0,4300.0,5.0,17,im,1,02ES
0.62,0.68,0.63,1090.0,500.0,500.0,-500.0,-500.0,2100.0,6.0,18,im,1,02ES
0.7,0.72,0.66,-100.0,500.0,500.0,-500.0,-500.0,2300.0,6.0,19,im,1,02ES
0.92,1.0,0.84,-300.0,500.0,500.0,-500.0,-200.0,6200.0,3.0,0,im,2,02ES
0.86,0.87,0.77,-200.0,500.0,500.0,-500.0,-200.0,6500.0,2.0,1,im,2,02ES
0.69,0.75,0.7,2500.0,500.0,500.0,-500.0,0.0,3500.0,2.0,2,im,2,02ES
0.88,0.92,0.74,100.0,800.0,5100.0,800.0,800.0,4500.0,2.0,3,im,2,02ES
0.64,0.84,0.72,1090.0,1600.0,500.0,-500.0,-400.0,2500.0,3.0,4,im,2,02ES
0.78,0.74,0.65,0.0,500.0,2200.0,500.0,200.0,2000.0,6.0,5,im,2,02ES
0.79,0.83,0.73,100.0,500.0,500.0,-500.0,-500.0,3300.0,2.0,6,im,2,02ES
0.77,0.68,0.59,90.0,800.0,1900.0,800.0,800.0,2700.0,5.0,7,im,2,02ES
0.94,0.98,0.85,1090.0,500.0,500.0,-500.0,0.0,6500.0,2.0,8,im,2,02ES
0.71,0.7,0.65,2000.0,500.0,4400.0,500.0,300.0,3800.0,2.0,9,im,2,02ES
0.78,0.84,0.7,1090.0,500.0,500.0,-500.0,-500.0,2200.0,4.0,10,im,2,02ES
0.82,0.9,0.74,-400.0,500.0,500.0,-500.0,-500.0,6000.0,3.0,11,im,2,02ES
0.71,0.74,0.63,-500.0,500.0,500.0,-500.0,-500.0,3200.0,5.0,12,im,2,02ES
0.78,0.83,0.76,-200.0,500.0,500.0,-500.0,-500.0,3400.0,3.0,13,im,2,02ES
0.76,0.65,0.59,-100.0,500.0,3900.0,500.0,500.0,3600.0,4.0,14,im,2,02ES
0.8,0.76,0.68,-300.0,500.0,3300.0,500.0,200.0,3500.0,5.0,15,im,2,02ES
0.93,0.97,0.83,-400.0,800.0,0.0,0.0,800.0,8000.0,1.0,16,im,2,02ES
0.67,0.68,0.61,-500.0,500.0,4600.0,500.0,100.0,2100.0,6.0,17,im,2,02ES
0.63,0.63,0.6,0.0,500.0,500.0,-500.0,-500.0,2900.0,6.0,18,im,2,02ES
0.74,0.86,0.79,1990.0,500.0,500.0,-500.0,-500.0,3900.0,3.0,19,im,2,02ES
0.72,0.82,0.75,-400.0,1900.0,2600.0,1900.0,1900.0,4100.0,4.0,0,im,3,02ES
0.99,0.98,0.82,-500.0,500.0,0.0,0.0,200.0,8000.0,1.0,1,im,3,02ES
0.91,0.95,0.8,400.0,700.0,0.0,0.0,700.0,4600.0,2.0,2,im,3,02ES
0.68,0.65,0.59,200.0,1100.0,1100.0,-1100.0,1100.0,2800.0,6.0,3,im,3,02ES
0.88,0.94,0.78,1390.0,500.0,500.0,-500.0,-300.0,5000.0,3.0,4,im,3,02ES
0.86,0.88,0.79,200.0,500.0,500.0,-500.0,-300.0,5500.0,2.0,5,im,3,02ES
0.84,0.86,0.75,1090.0,500.0,6800.0,500.0,100.0,3300.0,5.0,6,im,3,02ES
0.64,0.76,0.66,-100.0,700.0,500.0,-500.0,-500.0,2200.0,4.0,7,im,3,02ES
0.56,0.6,0.53,1690.0,500.0,500.0,-500.0,-500.0,1600.0,4.0,8,im,3,02ES
0.73,0.62,0.55,390.0,500.0,3100.0,500.0,400.0,2400.0,6.0,9,im,3,02ES
0.79,0.92,0.82,-100.0,500.0,500.0,-500.0,-500.0,6300.0,2.0,10,im,3,02ES
0.92,1.0,0.9,-500.0,1000.0,0.0,0.0,1000.0,6900.0,2.0,11,im,3,02ES
0.63,0.62,0.62,100.0,500.0,500.0,-500.0,-500.0,2600.0,5.0,12,im,3,02ES
0.68,0.65,0.6,-500.0,500.0,500.0,-500.0,-200.0,2600.0,6.0,13,im,3,02ES
0.61,0.5,0.51,1490.0,1000.0,2500.0,1000.0,1000.0,1600.0,5.0,14,im,3,02ES
0.75,0.7,0.64,-100.0,600.0,5700.0,600.0,600.0,4700.0,3.0,15,im,3,02ES
0.56,0.63,0.55,2400.0,500.0,500.0,-500.0,-500.0,2400.0,4.0,16,im,3,02ES
0.66,0.58,0.62,-500.0,500.0,1100.0,500.0,200.0,2400.0,4.0,17,im,3,02ES
0.71,0.66,0.6,1290.0,500.0,500.0,-500.0,-100.0,2700.0,3.0,18,im,3,02ES
0.76,0.78,0.68,2600.0,500.0,6000.0,500.0,500.0,5600.0,2.0,19,im,3,02ES
0.9,0.88,0.82,-300.0,600.0,2600.0,600.0,600.0,4600.0,3.0,0,qm,1,02ES
0.77,0.83,0.82,2200.0,500.0,500.0,-500.0,0.0,5500.0,3.0,1,qm,1,02ES
0.54,0.6,0.56,2100.0,500.0,500.0,-500.0,-400.0,2700.0,5.0,2,qm,1,02ES
0.89,0.96,0.91,1590.0,700.0,7000.0,700.0,700.0,6500.0,1.0,3,qm,1,02ES
0.68,0.64,0.61,-400.0,500.0,500.0,-500.0,-500.0,3400.0,6.0,4,qm,1,02ES
0.96,1.0,0.93,1590.0,500.0,7000.0,500.0,400.0,6400.0,1.0,5,qm,1,02ES
0.71,0.8,0.76,-300.0,500.0,500.0,-500.0,0.0,2200.0,3.0,6,qm,1,02ES
0.6,0.65,0.62,700.0,500.0,500.0,-500.0,-500.0,3300.0,5.0,7,qm,1,02ES
0.78,0.83,0.78,600.0,500.0,500.0,-500.0,-100.0,5500.0,3.0,8,qm,1,02ES
0.68,0.58,0.6,-500.0,500.0,500.0,-500.0,-100.0,2400.0,5.0,9,qm,1,02ES
0.78,0.88,0.85,-400.0,1400.0,6000.0,1400.0,1400.0,5500.0,2.0,10,qm,1,02ES
0.68,0.66,0.61,-500.0,500.0,1200.0,500.0,200.0,2400.0,6.0,11,qm,1,02ES
0.56,0.95,0.92,1500.0,0.0,7100.0,0.0,-1000.0,6500.0,1.0,12,qm,1,02ES
0.89,0.92,0.91,90.0,900.0,2600.0,900.0,900.0,4500.0,3.0,13,qm,1,02ES
0.9,0.93,0.89,-100.0,500.0,500.0,-500.0,-100.0,6000.0,2.0,14,qm,1,02ES
0.74,0.76,0.74,-500.0,500.0,500.0,-500.0,-200.0,3100.0,5.0,15,qm,1,02ES
0.9,0.98,0.94,-200.0,800.0,0.0,0.0,800.0,7500.0,3.0,16,qm,1,02ES
0.7,0.8,0.73,-500.0,500.0,600.0,500.0,-500.0,5000.0,3.0,17,qm,1,02ES
0.72,0.88,0.86,1500.0,500.0,500.0,-500.0,-500.0,4400.0,3.0,18,qm,1,02ES
0.75,0.94,0.88,1990.0,500.0,500.0,-500.0,-500.0,3900.0,2.0,19,qm,1,02ES
0.31,0.48,0.49,3690.0,0.0,3000.0,0.0,-1000.0,2500.0,2.0,0,qm,2,02ES
0.81,0.9,0.83,-500.0,1000.0,6000.0,1000.0,1000.0,5500.0,3.0,1,qm,2,02ES
0.92,1.0,0.91,-500.0,500.0,500.0,-500.0,-500.0,7400.0,1.0,2,qm,2,02ES
0.76,0.77,0.69,500.0,500.0,500.0,-500.0,-400.0,3600.0,4.0,3,qm,2,02ES
0.89,0.88,0.72,-400.0,600.0,0.0,0.0,600.0,6100.0,2.0,4,qm,2,02ES
0.56,0.44,0.42,-200.0,800.0,1100.0,800.0,800.0,2300.0,6.0,5,qm,2,02ES
0.93,1.0,0.9,600.0,500.0,0.0,0.0,200.0,7400.0,1.0,6,qm,2,02ES
0.82,0.92,0.73,-100.0,500.0,500.0,-500.0,-500.0,5900.0,2.0,7,qm,2,02ES
0.6,0.48,0.49,700.0,500.0,2800.0,500.0,100.0,2300.0,5.0,8,qm,2,02ES
0.78,0.83,0.76,-300.0,600.0,500.0,-500.0,-500.0,3900.0,3.0,9,qm,2,02ES
0.95,1.0,0.89,-100.0,500.0,0.0,0.0,400.0,7300.0,2.0,10,qm,2,02ES
0.98,0.98,0.87,-500.0,500.0,0.0,0.0,200.0,8000.0,1.0,11,qm,2,02ES
0.96,1.0,0.92,-500.0,500.0,500.0,-500.0,0.0,6800.0,2.0,12,qm,2,02ES
0.98,1.0,0.94,100.0,500.0,0.0,0.0,500.0,8000.0,1.0,13,qm,2,02ES
0.82,0.88,0.81,1000.0,700.0,6200.0,700.0,700.0,3500.0,3.0,14,qm,2,02ES
0.93,0.94,0.85,0.0,500.0,1700.0,500.0,500.0,5400.0,3.0,15,qm,2,02ES
